Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,19.845715,19.893929,19.057142,19.287144,17.080315,1356972400
2014-01-08,19.243214,19.530714,18.924286,19.513929,17.281153,1553708800
2014-01-15,19.768572,20.007143,19.282143,19.609644,17.365915,1376183200
2014-01-22,19.675358,19.903214,17.931070,18.089287,16.019512,2832981200
2014-01-29,17.998215,18.195000,17.626785,18.171070,16.091936,2424254000
2014-02-05,18.091429,19.205357,18.080357,19.141430,16.951263,1584206400
2014-02-12,19.176786,19.685356,19.044287,19.499643,17.371859,1148674800
2014-02-19,19.455357,19.531786,18.607143,18.645000,16.610476,1419272400
2014-02-26,18.700357,19.026787,18.414286,18.972857,16.902561,1447989200
2014-03-05,18.961430,19.240713,18.787500,19.146070,17.056871,1064089600
2014-03-12,19.089643,19.273571,18.678572,18.978571,16.907648,1103460400
2014-03-19,19.009287,19.491072,18.797501,19.463928,17.340046,1445194800
2014-03-26,19.518572,19.607143,19.080357,19.344643,17.233770,1091792800
2014-04-02,19.370714,19.410000,18.525000,18.694286,16.654387,1151754800
2014-04-09,18.665714,19.008572,18.261786,18.498571,16.480022,1189703200
2014-04-16,18.501785,19.004999,18.362143,18.989286,16.917187,884212000
2014-04-23,18.895000,21.285000,18.730356,21.154642,18.846270,2551990000
2014-04-30,21.165714,21.586071,20.941429,21.228930,18.912453,1553834800
2014-05-07,21.258928,21.331785,20.726070,21.205713,18.891768,1177705200
2014-05-14,21.158215,21.690357,20.907143,21.596786,19.347630,1226097600
2014-05-21,21.565357,22.352142,21.502144,22.343929,20.016968,978695200
2014-05-28,22.357857,23.006071,22.232143,22.769285,20.398020,1918036400
2014-06-04,22.765715,23.762501,22.718214,23.562500,21.108627,1541994000
2014-06-11,23.532499,23.690001,22.719999,23.020000,20.622625,880968000
2014-06-18,23.067499,23.137501,22.547501,22.570000,20.219492,1010680000
2014-06-25,22.552500,23.517500,22.412500,23.379999,20.945137,884929200
2014-07-02,23.467501,24.200001,23.272499,23.837500,21.354994,692187200
2014-07-09,23.860001,24.222500,23.379999,23.830000,21.348276,793711600
2014-07-16,24.242500,24.275000,23.142500,23.680000,21.213894,1019833200
2014-07-23,23.855000,24.860001,23.792500,24.594999,22.033598,1122308000
2014-07-30,24.610001,24.674999,23.590000,23.780001,21.303476,937020000
2014-08-06,23.687500,24.219999,23.320000,23.992500,21.493851,790056000
2014-08-13,24.037500,25.170000,24.010000,25.132500,22.627121,903816000
2014-08-20,25.110001,25.542500,24.987499,25.222500,22.708141,815132000
2014-08-27,25.254999,25.934999,25.174999,25.825001,23.250584,875952000
2014-09-03,25.775000,25.799999,24.035000,24.497499,22.055418,2023196000
2014-09-10,24.502501,25.762501,24.440001,25.215000,22.701399,1416293600
2014-09-17,25.317499,25.735001,25.125000,25.660000,23.102032,1141275600
2014-09-24,25.540001,25.712500,24.430000,25.187500,22.676636,1310658800
2014-10-01,25.147499,25.172501,24.510000,24.687500,22.226479,887456400
